timestamp,energy_pv,power_consumed_kwh,energy_hotwater
2017-06-02 06:45:00,-0.0,174.0,1.0
2017-06-02 07:00:00,-0.0,84.0,1.0
2017-06-02 07:15:00,8.0,106.0,1.0
2017-06-02 07:30:00,17.0,87.0,1.0
2017-06-02 07:45:00,20.0,443.0,1.0
2017-06-02 08:00:00,61.0,245.0,1.0
2017-06-02 08:15:00,206.0,251.0,1.0
2017-06-02 08:30:00,233.0,220.0,1.0
2017-06-02 08:45:00,255.0,145.0,1.0
2017-06-02 09:00:00,273.0,36.0,1.0
2017-06-02 09:15:00,288.0,41.0,1.0
2017-06-02 09:30:00,275.0,30.0,1.0
2017-06-02 09:45:00,226.0,46.0,1.0
2017-06-02 10:00:00,184.0,25.0,1.0
2017-06-02 10:15:00,83.0,83.0,1.0
2017-06-02 10:30:00,31.0,57.0,1.0
2017-06-02 10:45:00,18.0,189.0,1.0
2017-06-02 11:00:00,20.0,273.0,1.0
2017-06-02 11:15:00,30.0,29.0,1.0
2017-06-02 11:30:00,114.0,48.0,1.0
2017-06-02 11:45:00,151.0,26.0,1.0
2017-06-02 12:00:00,139.0,18.0,1.0
2017-06-02 12:15:00,54.0,34.0,1.0
2017-06-02 12:30:00,71.0,32.0,1.0
2017-06-02 12:45:00,90.0,34.0,1.0
2017-06-02 13:00:00,115.0,18.0,1.0
2017-06-02 13:15:00,176.0,46.0,1.0
2017-06-02 13:30:00,236.0,28.0,1.0
2017-06-02 13:45:00,83.0,138.0,1.0
2017-06-02 14:00:00,38.0,51.0,1.0
2017-06-02 14:15:00,62.0,84.0,1.0
2017-06-02 14:30:00,79.0,87.0,1.0
2017-06-02 14:45:00,43.0,116.0,1.0
2017-06-02 15:00:00,86.0,98.0,1.0
2017-06-02 15:15:00,51.0,81.0,1.0
2017-06-02 15:30:00,11.0,96.0,1.0
2017-06-02 15:45:00,11.0,87.0,1.0
2017-06-02 16:00:00,24.0,79.0,1.0
2017-06-02 16:15:00,8.0,56.0,1.0
2017-06-02 16:30:00,6.0,81.0,1.0
2017-06-02 16:45:00,-0.0,158.0,1.0
2017-06-02 17:00:00,-0.0,52.0,1.0
2017-06-02 17:15:00,-0.0,134.0,1.0
2017-06-02 17:30:00,-0.0,108.0,1.0
2017-06-02 17:45:00,-0.0,88.0,1.0
2017-06-02 18:00:00,-0.0,105.0,1.0
2017-06-02 18:15:00,-0.0,181.0,1.0
2017-06-02 18:30:00,0.0,1090.0,1.0
2017-06-02 18:45:00,0.0,834.0,1.0
2017-06-02 19:00:00,-0.0,197.0,1.0
2017-06-02 19:15:00,-0.0,118.0,1.0
2017-06-02 19:30:00,-0.0,478.0,1.0
2017-06-02 19:45:00,-0.0,467.0,1.0
2017-06-02 20:00:00,0.0,540.0,1.0
2017-06-02 20:15:00,-0.0,296.0,1.0
2017-06-02 20:30:00,-0.0,203.0,1.0
2017-06-02 20:45:00,-0.0,194.0,1.0
2017-06-02 21:00:00,-0.0,156.0,1.0
2017-06-02 21:15:00,-0.0,140.0,1.0
2017-06-02 21:30:00,-0.0,170.0,1.0
2017-06-02 21:45:00,-0.0,149.0,1.0
2017-06-02 22:00:00,-0.0,103.0,1.0
2017-06-02 22:15:00,-0.0,112.0,1.0
2017-06-02 22:30:00,-0.0,65.0,1.0
2017-06-02 22:45:00,-0.0,44.0,1.0
2017-06-02 23:00:00,0.0,906.0,881.0
2017-06-02 23:15:00,0.0,959.0,918.0
2017-06-02 23:30:00,0.0,941.0,917.0
2017-06-02 23:45:00,0.0,968.0,929.0
2017-06-03 00:00:00,0.0,961.0,927.0
2017-06-03 00:15:00,0.0,573.0,531.0
2017-06-03 00:30:00,-0.0,24.0,1.0
2017-06-03 00:45:00,-0.0,31.0,1.0
2017-06-03 01:00:00,-0.0,44.0,1.0
2017-06-03 01:15:00,-0.0,40.0,1.0
2017-06-03 01:30:00,-0.0,24.0,1.0
2017-06-03 01:45:00,-0.0,23.0,1.0
2017-06-03 02:00:00,-0.0,48.0,1.0
2017-06-03 02:15:00,-0.0,42.0,1.0
2017-06-03 02:30:00,-0.0,23.0,1.0
2017-06-03 02:45:00,-0.0,23.0,1.0
2017-06-03 03:00:00,-0.0,43.0,1.0
2017-06-03 03:15:00,0.0,911.0,868.0
2017-06-03 03:30:00,0.0,756.0,729.0
2017-06-03 03:45:00,-0.0,23.0,1.0
2017-06-03 04:00:00,-0.0,37.0,1.0
2017-06-03 04:15:00,-0.0,43.0,1.0
2017-06-03 04:30:00,-0.0,32.0,1.0
2017-06-03 04:45:00,-0.0,25.0,1.0
2017-06-03 05:00:00,-0.0,40.0,1.0
2017-06-03 05:15:00,-0.0,171.0,1.0
2017-06-03 05:30:00,-0.0,159.0,1.0
2017-06-03 05:45:00,-0.0,50.0,1.0
2017-06-03 06:00:00,-0.0,127.0,1.0
2017-06-03 06:15:00,-0.0,238.0,1.0
2017-06-03 06:30:00,-0.0,103.0,1.0
2017-06-03 06:45:00,-0.0,39.0,1.0
2017-06-03 07:00:00,-0.0,86.0,1.0
2017-06-03 07:15:00,3.0,25.0,1.0
2017-06-03 07:30:00,11.0,137.0,1.0
2017-06-03 07:45:00,21.0,94.0,1.0
2017-06-03 08:00:00,59.0,89.0,1.0
2017-06-03 08:15:00,189.0,67.0,1.0
2017-06-03 08:30:00,225.0,81.0,1.0
2017-06-03 08:45:00,250.0,135.0,1.0
2017-06-03 09:00:00,272.0,73.0,1.0
2017-06-03 09:15:00,293.0,59.0,1.0
2017-06-03 09:30:00,273.0,55.0,1.0
2017-06-03 09:45:00,229.0,187.0,161.0
2017-06-03 10:00:00,177.0,967.0,909.0
2017-06-03 10:15:00,89.0,670.0,630.0
2017-06-03 10:30:00,39.0,19.0,1.0
2017-06-03 10:45:00,24.0,30.0,1.0
2017-06-03 11:00:00,24.0,64.0,1.0
2017-06-03 11:15:00,41.0,34.0,1.0
2017-06-03 11:30:00,74.0,29.0,1.0
2017-06-03 11:45:00,60.0,47.0,1.0
2017-06-03 12:00:00,113.0,34.0,1.0
2017-06-03 12:15:00,96.0,42.0,1.0
2017-06-03 12:30:00,41.0,50.0,1.0
2017-06-03 12:45:00,26.0,25.0,1.0
2017-06-03 13:00:00,29.0,26.0,1.0
2017-06-03 13:15:00,34.0,66.0,1.0
2017-06-03 13:30:00,60.0,34.0,1.0
2017-06-03 13:45:00,85.0,26.0,1.0
2017-06-03 14:00:00,25.0,252.0,1.0
2017-06-03 14:15:00,55.0,852.0,503.0
2017-06-03 14:30:00,110.0,1040.0,925.0
